state	votetrump	age	female	collegeed	famincr	ideo	pid7na	bornagain	religimp	churchatd	prayerfreq	angryracism	whiteadv	fearraces	racerare
Pennsylvania	NA	25	1	0	1	3	Indep.	0	1	2	3	NA	NA	NA	NA
Pennsylvania	1	59	1	0	7	3	Strong R	0	3	2	4	NA/ND	Strongly Disagree	Strongly Disagree	NA/ND
Michigan	0	56	0	0	4	NA	Strong D	0	3	NA	7	Strongly Agree	NA/ND	NA/ND	NA/ND
Pennsylvania	NA	45	1	0	7	3	Not Strong R	0	3	3	3	Strongly Agree	Agree	Agree	Disagree
Michigan	1	28	1	0	3	2	Indep.	0	3	3	5	NA/ND	NA/ND	Disagree	Strongly Disagree
Michigan	0	59	1	1	4	1	Strong D	0	2	1	2	Strongly Agree	Agree	Disagree	Disagree
Illinois	NA	67	0	0	7	5	Indep.	0	2	1	2	Strongly Agree	NA/ND	Strongly Disagree	NA/ND
Indiana	0	50	1	1	10	5	Ind. Lean R	1	4	6	7	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Agree
Wisconsin	0	55	1	1	7	2	Strong D	0	3	2	2	Strongly Agree	NA/ND	NA/ND	Disagree
Michigan	1	46	1	1	3	5	Ind. Lean R	0	4	5	7	Strongly Agree	Strongly Disagree	Strongly Disagree	NA/ND
Pennsylvania	NA	33	1	0	6	NA	Ind. Lean R	1	4	2	7	NA	NA	NA	NA
Pennsylvania	NA	47	1	0	3	3	Indep.	1	2	2	3	Agree	Disagree	Strongly Disagree	Agree
Illinois	0	26	0	0	3	3	Ind. Lean D	0	1	3	2	Agree	Agree	Strongly Disagree	NA/ND
Indiana	1	49	1	0	9	3	Strong R	0	3	2	3	NA/ND	Strongly Disagree	Strongly Disagree	Agree
Michigan	0	63	0	1	4	2	Strong D	0	2	2	1	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Michigan	0	41	0	1	8	3	Indep.	1	4	5	5	Strongly Agree	NA/ND	Disagree	Agree
Michigan	0	50	1	1	10	3	Not Strong D	0	3	5	7	NA/ND	Disagree	Disagree	NA/ND
Ohio	1	80	0	1	10	4	Strong R	0	2	2	5	Agree	NA/ND	Strongly Disagree	Disagree
Wisconsin	0	52	1	1	12	1	Ind. Lean D	0	4	5	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	1	61	1	1	12	4	Not Strong R	0	4	3	6	NA/ND	NA/ND	NA/ND	Disagree
Illinois	NA	46	1	1	1	NA	Indep.	0	3	3	5	NA/ND	Strongly Disagree	Strongly Disagree	Disagree
Minnesota	1	29	1	0	8	4	Ind. Lean R	0	2	2	2	Agree	Disagree	Disagree	Strongly Disagree
Indiana	0	60	0	1	2	3	Not Strong D	1	4	6	7	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Minnesota	1	19	1	0	10	4	Strong R	0	4	5	7	Agree	NA/ND	NA/ND	NA/ND
Michigan	0	38	1	1	4	1	Strong D	1	4	3	7	Strongly Agree	Agree	Strongly Disagree	Strongly Disagree
Wisconsin	0	69	1	0	6	2	Strong D	0	4	5	6	Strongly Agree	Agree	Strongly Disagree	Agree
Michigan	1	66	1	0	9	5	Ind. Lean R	0	3	5	6	NA/ND	Strongly Disagree	Strongly Disagree	Agree
Ohio	0	29	0	1	6	1	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Indiana	1	55	1	0	7	5	Strong R	0	3	1	2	NA/ND	Agree	Agree	Agree
Pennsylvania	0	72	1	0	2	2	Strong D	0	3	3	5	Agree	Agree	Disagree	Disagree
Pennsylvania	1	59	1	0	6	3	Not Strong D	0	3	2	5	Agree	Strongly Disagree	Strongly Disagree	Agree
Illinois	0	30	1	1	4	3	Not Strong D	0	1	1	1	Agree	Agree	Strongly Disagree	Disagree
Pennsylvania	1	63	1	0	6	4	Not Strong D	0	3	2	6	Strongly Agree	Disagree	NA/ND	Strongly Disagree
Ohio	0	49	0	1	9	3	Not Strong D	0	3	3	7	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Illinois	0	77	0	0	12	3	Ind. Lean R	0	2	4	2	Strongly Agree	Agree	Disagree	Strongly Disagree
Wisconsin	1	60	0	1	12	4	Indep.	0	2	2	3	Agree	Disagree	Strongly Disagree	NA/ND
Michigan	NA	31	1	0	4	NA	Indep.	0	1	1	1	Strongly Agree	NA/ND	Strongly Disagree	NA/ND
Ohio	NA	29	1	0	2	3	Not Strong D	0	2	2	NA	NA/ND	NA/ND	NA/ND	NA/ND
Minnesota	0	57	1	0	3	2	Strong D	1	3	2	5	Strongly Agree	Agree	Strongly Disagree	Disagree
Pennsylvania	NA	36	1	0	1	NA	Indep.	1	4	5	7	Agree	Agree	NA/ND	Disagree
Indiana	0	41	0	0	5	2	Strong D	0	1	1	1	Strongly Agree	Agree	Strongly Disagree	Disagree
Minnesota	NA	20	1	0	10	3	Strong D	0	1	3	2	Agree	Agree	Strongly Agree	Agree
Pennsylvania	NA	21	1	0	8	2	Indep.	0	1	1	1	Disagree	Strongly Disagree	Disagree	Agree
Ohio	NA	33	0	0	4	3	Indep.	0	1	2	1	Strongly Agree	Agree	Strongly Disagree	Strongly Disagree
Minnesota	1	64	1	0	5	4	Not Strong R	0	3	3	5	Strongly Agree	Disagree	Strongly Disagree	Disagree
Ohio	0	74	0	0	10	2	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Minnesota	NA	66	0	0	11	2	Strong D	0	4	2	2	NA/ND	Disagree	NA/ND	NA/ND
